timestamp,object,px_widths,px_heights,px_width_changes,px_height_changes,mm_widths,mm_heights,mm_width_changes,mm_height_changes,rostopic_wrenches,rostopic_positions
3802556038,compressed-51,283.09621405279216,231.9846835645098,11.79229835458824,20.286008226344478,-283.09621405279216,-231.9846835645098,-11.79229835458824,-20.286008226344478,35.9991989136,-0.246116105311
3873069048,compressed-52,280.08452840220315,229.78502481297124,8.780612703999225,18.086349474805928,-280.08452840220315,-229.78502481297124,-8.780612703999225,-18.086349474805928,39.4219169617,-0.246683850175
3934530020,compressed-53,279.9421064383515,226.43086108410398,8.638190740147593,14.732185745938665,-279.9421064383515,-226.43086108410398,-8.638190740147593,-14.732185745938665,41.5947303772,-0.246537483089
4270333052,compressed-54,279.99993896484375,212.0,8.696023266639827,0.3013246618346841,-279.99993896484375,-212.0,-8.696023266639827,-0.3013246618346841,50.436000824,-0.247754318551
4339072943,compressed-55,284.0,209.0,12.696084301796077,-2.698675338165316,-284.0,-209.0,-12.696084301796077,2.698675338165316,52.644657135,-0.247137982648
4402604104,compressed-56,275.0,206.0,3.696084301796077,-5.698675338165316,-275.0,-206.0,-3.696084301796077,5.698675338165316,54.1395874023,-0.247731642407
4472947121,compressed-57,274.6765373410118,206.19218231061268,3.3726216428078715,-5.5064930275526365,-274.6765373410118,-206.19218231061268,-3.3726216428078715,5.5064930275526365,55.3974647522,-0.247512794113
4534565926,compressed-58,281.99993896484375,205.0,10.696023266639827,-6.698675338165316,-281.99993896484375,-205.0,-10.696023266639827,6.698675338165316,55.9834480286,-0.247698886684
4605943919,compressed-59,284.99993896484375,204.0,13.696023266639827,-7.698675338165316,-284.99993896484375,-204.0,-13.696023266639827,7.698675338165316,58.0771598816,-0.248293398442
4675177098,compressed-60,275.27348978817685,204.27384741279903,3.969574089972923,-7.424827925366287,-275.27348978817685,-204.27384741279903,-3.969574089972923,7.424827925366287,58.5895576477,-0.248754933943
4736788989,compressed-61,275.88382957773405,203.32970023177123,4.579913879530125,-8.368975106394089,-275.88382957773405,-203.32970023177123,-4.579913879530125,8.368975106394089,59.6790122986,-0.24853799541
4808716059,compressed-62,286.0,202.0,14.696084301796077,-9.698675338165316,-286.0,-202.0,-14.696084301796077,9.698675338165316,60.1495552063,-0.248580777311
4870723963,compressed-63,286.0,201.0,14.696084301796077,-10.698675338165316,-286.0,-201.0,-14.696084301796077,10.698675338165316,61.8148574829,-0.248657727022
4939146042,compressed-64,286.99993896484375,200.0,15.696023266639827,-11.698675338165316,-286.99993896484375,-200.0,-15.696023266639827,11.698675338165316,63.0742225647,-0.249164527342
5002656937,compressed-65,286.0,199.0,14.696084301796077,-12.698675338165316,-286.0,-199.0,-14.696084301796077,12.698675338165316,64.0554580688,-0.249514638388
5072798968,compressed-66,288.0,199.0,16.696084301796077,-12.698675338165316,-288.0,-199.0,-16.696084301796077,12.698675338165316,66.414100647,-0.249710061986
5134681941,compressed-67,289.0,198.0,17.696084301796077,-13.698675338165316,-289.0,-198.0,-17.696084301796077,13.698675338165316,66.3879470825,-0.249647509969
5206159115,compressed-68,289.0,197.0,17.696084301796077,-14.698675338165316,-289.0,-197.0,-17.696084301796077,14.698675338165316,66.8644790649,-0.25045133349
5275264025,compressed-69,288.0,196.0,16.696084301796077,-15.698675338165316,-288.0,-196.0,-16.696084301796077,15.698675338165316,67.5404968262,-0.250342552094
5338510991,compressed-70,288.0,196.0,16.696084301796077,-15.698675338165316,-288.0,-196.0,-16.696084301796077,15.698675338165316,69.2395248413,-0.251184251972
5408805132,compressed-71,289.99993896484375,195.0,18.696023266639827,-16.698675338165316,-289.99993896484375,-195.0,-18.696023266639827,16.698675338165316,66.9545822144,-0.251103946994
5470505953,compressed-72,290.0,193.0,18.696084301796077,-18.698675338165316,-290.0,-193.0,-18.696084301796077,18.698675338165316,67.3617630005,-0.250655606067
5539020062,compressed-73,290.0,192.0,18.696084301796077,-19.698675338165316,-290.0,-192.0,-18.696084301796077,19.698675338165316,66.3867492676,-0.251228209957
5602684021,compressed-74,290.0,191.0,18.696084301796077,-20.698675338165316,-290.0,-191.0,-18.696084301796077,20.698675338165316,66.1711578369,-0.251359136945
5673109055,compressed-75,290.0,189.0,18.696084301796077,-22.698675338165316,-290.0,-189.0,-18.696084301796077,22.698675338165316,66.4985198975,-0.251899140177
5736560107,compressed-76,291.0,186.0,19.696084301796077,-25.698675338165316,-291.0,-186.0,-19.696084301796077,25.698675338165316,66.6229095459,-0.251786572389
5806013108,compressed-77,291.0,182.0,19.696084301796077,-29.698675338165316,-291.0,-182.0,-19.696084301796077,29.698675338165316,65.4031600952,-0.251472355635
5876762152,compressed-78,292.0,179.0,20.696084301796077,-32.698675338165316,-292.0,-179.0,-20.696084301796077,32.698675338165316,64.7647018433,-0.251579981129
5936825991,compressed-79,292.0,175.0,20.696084301796077,-36.698675338165316,-292.0,-175.0,-20.696084301796077,36.698675338165316,64.897605896,-0.252674370803
6008618117,compressed-80,292.99993896484375,171.0,21.696023266639827,-40.698675338165316,-292.99993896484375,-171.0,-21.696023266639827,40.698675338165316,64.5276107788,-0.251981711181
6072531939,compressed-81,293.99993896484375,168.0,22.696023266639827,-43.698675338165316,-293.99993896484375,-168.0,-22.696023266639827,43.698675338165316,63.8435935974,-0.252099403049
6139192105,compressed-82,294.0,164.0,22.696084301796077,-47.698675338165316,-294.0,-164.0,-22.696084301796077,47.698675338165316,64.1694717407,-0.251863685858
6202747107,compressed-83,292.99993896484375,160.0,21.696023266639827,-51.698675338165316,-292.99993896484375,-160.0,-21.696023266639827,51.698675338165316,63.7568740845,-0.251854039524
6274562121,compressed-84,294.0,156.0,22.696084301796077,-55.698675338165316,-294.0,-156.0,-22.696084301796077,55.698675338165316,63.2924385071,-0.251595121461
6336084128,compressed-85,299.0,152.0,27.696084301796077,-59.698675338165316,-299.0,-152.0,-27.696084301796077,59.698675338165316,64.2818222046,-0.252514525732
6406037093,compressed-86,298.99993896484375,149.0,27.696023266639827,-62.698675338165316,-298.99993896484375,-149.0,-27.696023266639827,62.698675338165316,65.4051055908,-0.251863029041
6476725102,compressed-87,302.0,145.0,30.696084301796077,-66.69867533816532,-302.0,-145.0,-30.696084301796077,66.69867533816532,64.6767349243,-0.251856653203
6536795140,compressed-88,301.0,140.0,29.696084301796077,-71.69867533816532,-301.0,-140.0,-29.696084301796077,71.69867533816532,64.2726211548,-0.252091048187
6608937026,compressed-89,302.99993896484375,136.0,31.696023266639827,-75.69867533816532,-302.99993896484375,-136.0,-31.696023266639827,75.69867533816532,63.9938049316,-0.251865950372
6672786952,compressed-90,302.99993896484375,133.0,31.696023266639827,-78.69867533816532,-302.99993896484375,-133.0,-31.696023266639827,78.69867533816532,64.41456604,-0.251275355082
6739181996,compressed-91,304.99993896484375,130.0,33.69602326663983,-81.69867533816532,-304.99993896484375,-130.0,-33.69602326663983,81.69867533816532,64.3042602539,-0.251778017837
6802647114,compressed-92,305.99993896484375,127.0,34.69602326663983,-84.69867533816532,-305.99993896484375,-127.0,-34.69602326663983,84.69867533816532,64.438041687,-0.251677144729
6874567986,compressed-93,305.99993896484375,125.0,34.69602326663983,-86.69867533816532,-305.99993896484375,-125.0,-34.69602326663983,86.69867533816532,63.9828872681,-0.252136442242
6936494112,compressed-94,305.99993896484375,123.0,34.69602326663983,-88.69867533816532,-305.99993896484375,-123.0,-34.69602326663983,88.69867533816532,63.5482826233,-0.251843768454
7005993128,compressed-95,305.99993896484375,121.0,34.69602326663983,-90.69867533816532,-305.99993896484375,-121.0,-34.69602326663983,90.69867533816532,63.6066932678,-0.252529238803
7076720953,compressed-96,306.99993896484375,119.0,35.69602326663983,-92.69867533816532,-306.99993896484375,-119.0,-35.69602326663983,92.69867533816532,63.1372489929,-0.251745093247
7137020112,compressed-97,306.99993896484375,118.0,35.69602326663983,-93.69867533816532,-306.99993896484375,-118.0,-35.69602326663983,93.69867533816532,63.266456604,-0.251902893709
7208874941,compressed-98,306.99993896484375,119.0,35.69602326663983,-92.69867533816532,-306.99993896484375,-119.0,-35.69602326663983,92.69867533816532,63.3086509705,-0.251445314561
